,공원명,면적,지역,공원주소,X좌표(WGS84),Y좌표(WGS84),구주소,lat,lng
27,개웅산근린공원,411972.0,구로구,서울특별시 구로구 오류동 산13-1,126.84857340000002,37.4888943,서울 구로구 개봉동 298-3,126.849223181951,37.4854370083628
28,경희궁,98470.0,종로구,서울특별시 종로구 새문안로 55(신문로2가 2-1),126.9685341,37.570772999999996,서울 종로구 신문로2가 2-1,126.968649079046,37.5707881525953
29,국립현충원,2038741.3,동작구,서울특별시 동작구 사당2동 산41-2,126.97368490000001,37.4998621,서울 동작구 동작동 215-5,126.97152424749935,37.49943683156676
30,계남근린공원,603715.2,양천구,서울특별시 양천구 신정동 산44-2일대,126.84796429999999,37.513835799999995,서울 양천구 신정동,126.848187630714,37.5138524901244
31,고척근린공원,108120.0,구로구,서울특별시 구로구 고척로45길 39(고척공원),126.85214950000001,37.5042944,서울 구로구 고척동 산 9-14,126.8520594675,37.5052221817965
32,파리근린공원,29619.3,양천구,서울특별시 양천구 목동동로 363 ,126.87639320000001,37.5349739,서울 양천구 목5동 906,126.877168427609,37.5347714061068
33,허준공원,29843.8,강서구,서울특별시 강서구 허준로5길 42,126.8526745,37.5679874,서울 강서구 가양동 1471,126.852288177516,37.5681915373236
35,궁산근린공원,135002.7,강서구,서울특별시 강서구 가양동 산4-7,126.838952,37.5735645,서울 강서구 가양동 산 8-1,126.839068805614,37.5738000661701
36,까치산근린공원,384026.0,동작구,서울특별시 동작구 사당동 산32,126.96407350000001,37.4845836,서울 동작구 사당동,126.963936345046,37.4845897625484
37,꿩고개근린공원,180000.0,강서구,서울특별시 강서구 방화동 산110,126.8157075,37.5801585,서울 강서구 방화동,126.815597825426,37.5801808080392
38,노량진공원,416031.0,동작구,서울특별시 동작구 여의대방로 15-45(여의대방로36길 71),126.928607,37.510234000000004,서울 동작구 상도동 900-5,126.936972256783,37.5061413474055
39,답십리근린공원,160720.0,동대문구,서울특별시 동대문구 답십리로 209(답십리공원) ,127.0626512,37.5750896,서울 동대문구 답십리동 산 2-1,127.062781796896,37.5743426605389
40,대모산도시자연공원,2277252.0,강남구,서울특별시 강남구 광평로10길 30-71(대모산공원) ,127.0809639,37.4796489,서울 강남구 일원동 53-22,127.081321216711,37.4798207668752
41,탑골근린공원,19599.7,종로구,서울특별시 종로구 종로 99,126.98828529999999,37.5710052,서울 종로구 종로2가 38-1,126.988345222457,37.5711665541042
43,천마근린공원,185295.0,송파구,서울특별시 송파구 마천동 산 1-1,127.1586644,37.5005173,서울 송파구 마천동 산 1-5,127.157225481903,37.4996636025811
45,도산근린공원,29816.5,강남구,서울특별시 강남구 도산대로45길 20(도산공원),127.03502959999999,37.524675200000004,서울 강남구 신사동 649-9,127.03528760485077,37.52455769460598
47,초안산근린공원,664905.0,도봉구,서울특별시 도봉구 창동 산157,127.0455446,37.648315999999994,서울 도봉구 창동 산 48-4,127.040638931429,37.6482307581775
